,Tags,SeqName,Description,Length,#Hits,e-Value,sim mean,#GO,GO IDs,GO Names,Enzyme Codes,Enzyme Names,InterPro IDs,InterPro GO IDs,InterPro GO Names
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1928,mraZ,164,20,2.00E-117,99.36,7,F:GO:0003677; F:GO:0003700; C:GO:0005737; P:GO:0006351; P:GO:0006355; C:GO:0009295; P:GO:0051301,"F:DNA binding; F:DNA-binding transcription factor activity; C:cytoplasm; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated; C:nucleoid; P:cell division",,,IPR038619 (G3DSA:2.40.330.GENE3D); IPR003444 (TIGRFAM); IPR020603 (PFAM); IPR003444 (PANTHER); IPR003444 (PRODOM); IPR007159 (PROSITE_PROFILES); IPR007159 (PROSITE_PROFILES); IPR003444 (HAMAP); IPR035642 (CDD); IPR035644 (CDD); IPR037914 (SUPERFAMILY),F:GO:0003677; F:GO:0003700; P:GO:0006355,"F:DNA binding; F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1929,transcriptional regulator,335,20,0,99.33,5,F:GO:0003677; F:GO:0003700; P:GO:0006351; P:GO:0006355; P:GO:0009750,"F:DNA binding; F:DNA-binding transcription factor activity; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated; P:response to fructose",,,IPR000843 (SMART); IPR001761 (PFAM); G3DSA:1.10.260.40 (GENE3D); G3DSA:3.40.50.2300 (GENE3D); IPR012781 (TIGRFAM); IPR000843 (PFAM); G3DSA:3.40.50.2300 (GENE3D); PTHR30146 (PANTHER); PTHR30146:SF45 (PANTHER); IPR000843 (PROSITE_PROFILES); cd06274 (CDD); IPR000843 (CDD); IPR010982 (SUPERFAMILY); IPR028082 (SUPERFAMILY),F:GO:0003677; P:GO:0006355; P:GO:0009750,"F:DNA binding; P:regulation of transcription, DNA-templated; P:response to fructose"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1930,acetolactate synthase small subunit,163,20,1.97E-110,98.99,3,F:GO:0003984; P:GO:0009082; F:GO:0016597,F:acetolactate synthase activity; P:branched-chain amino acid biosynthetic process; F:amino acid binding,EC:2.2.1.6,Acetolactate synthase,IPR019455 (PFAM); IPR002912 (PFAM); IPR027271 (G3DSA:3.30.70.GENE3D); G3DSA:3.30.70.260 (GENE3D); IPR004789 (TIGRFAM); IPR004789 (PANTHER); PD002844 (PRODOM); IPR002912 (PROSITE_PROFILES); IPR039557 (CDD); SSF55021 (SUPERFAMILY); SSF55021 (SUPERFAMILY),F:GO:0003984; P:GO:0009082,F:acetolactate synthase activity; P:branched-chain amino acid biosynthetic process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1931,acetolactate synthase 3 catalytic subunit,574,20,0,99.34,6,F:GO:0000287; F:GO:0003984; P:GO:0009097; P:GO:0009099; F:GO:0030976; F:GO:0050660,F:magnesium ion binding; F:acetolactate synthase activity; P:isoleucine biosynthetic process; P:valine biosynthetic process; F:thiamine pyrophosphate binding; F:flavin adenine dinucleotide binding,EC:2.2.1.6,Acetolactate synthase,IPR012000 (PFAM); G3DSA:3.40.50.970 (GENE3D); IPR011766 (PFAM); G3DSA:3.40.50.970 (GENE3D); G3DSA:3.40.50.1220 (GENE3D); IPR012001 (PFAM); IPR012846 (TIGRFAM); PTHR18968 (PANTHER); PTHR18968:SF116 (PANTHER); IPR039368 (CDD); cd07035 (CDD); IPR029061 (SUPERFAMILY); IPR029061 (SUPERFAMILY); IPR029035 (SUPERFAMILY),F:GO:0000287; F:GO:0003824; F:GO:0003984; P:GO:0009082; F:GO:0030976; F:GO:0050660,F:magnesium ion binding; F:catalytic activity; F:acetolactate synthase activity; P:branched-chain amino acid biosynthetic process; F:thiamine pyrophosphate binding; F:flavin adenine dinucleotide binding
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1932,transcriptional regulator,320,20,0,98.75,4,F:GO:0003677; F:GO:0003700; P:GO:0006351; P:GO:0006355,"F:DNA binding; F:DNA-binding transcription factor activity; P:transcription, DNA-templated; P:regulation of transcription, DNA-templated",,,IPR000847 (PRINTS); G3DSA:3.40.190.10 (GENE3D); G3DSA:3.40.190.10 (GENE3D); IPR005119 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR000847 (PFAM); PTHR30118 (PANTHER); PTHR30118:SF6 (PANTHER); IPR000847 (PROSITE_PROFILES); cd08466 (CDD); SSF53850 (SUPERFAMILY); IPR036390 (SUPERFAMILY),F:GO:0003700; P:GO:0006355,"F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1933,2-isopropylmalate synthase,523,20,0,99.88,2,F:GO:0003852; P:GO:0009098,F:2-isopropylmalate synthase activity; P:leucine biosynthetic process,EC:2.3.3.13,2-isopropylmalate synthase,IPR013709 (SMART); G3DSA:3.30.160.270 (GENE3D); IPR000891 (PFAM); IPR005671 (TIGRFAM); IPR013785 (G3DSA:3.20.20.GENE3D); G3DSA:1.10.238.260 (GENE3D); IPR013709 (PFAM); PTHR10277 (PANTHER); PTHR10277:SF9 (PANTHER); IPR005671 (HAMAP); IPR000891 (PROSITE_PROFILES); cd07940 (CDD); SSF51569 (SUPERFAMILY); IPR036230 (SUPERFAMILY),F:GO:0003824; F:GO:0003852; P:GO:0009098,F:catalytic activity; F:2-isopropylmalate synthase activity; P:leucine biosynthetic process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1934,3-isopropylmalate dehydrogenase,363,20,0,99.38,6,F:GO:0000287; F:GO:0003862; C:GO:0005737; P:GO:0009098; F:GO:0051287; P:GO:0055114,F:magnesium ion binding; F:3-isopropylmalate dehydrogenase activity; C:cytoplasm; P:leucine biosynthetic process; F:NAD binding; P:oxidation-reduction process,EC:1.1.1.85,3-isopropylmalate dehydrogenase,IPR024084 (SMART); G3DSA:3.40.718.10 (GENE3D); IPR024084 (PFAM); IPR004429 (TIGRFAM); IPR004429 (PANTHER); IPR004429 (HAMAP); SSF53659 (SUPERFAMILY),F:GO:0003862; C:GO:0005737; P:GO:0009098; F:GO:0016616; P:GO:0055114,"F:3-isopropylmalate dehydrogenase activity; C:cytoplasm; P:leucine biosynthetic process; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; P:oxidation-reduction process"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1935,3-isopropylmalate dehydratase large subunit,466,20,0,99.43,5,F:GO:0003861; P:GO:0009098; F:GO:0016853; F:GO:0046872; F:GO:0051539,"F:3-isopropylmalate dehydratase activity; P:leucine biosynthetic process; F:isomerase activity; F:metal ion binding; F:4 iron, 4 sulfur cluster binding",EC:4.2.1.33,3-isopropylmalate dehydratase,IPR001030 (PRINTS); IPR015931 (G3DSA:3.30.499.GENE3D); IPR001030 (PFAM); G3DSA:3.30.499.20 (GENE3D); IPR004430 (TIGRFAM); PTHR43822 (PANTHER); PTHR43822:SF3 (PANTHER); IPR004430 (HAMAP); IPR033941 (CDD); IPR036008 (SUPERFAMILY),F:GO:0003861; P:GO:0009098; F:GO:0051539,"F:3-isopropylmalate dehydratase activity; P:leucine biosynthetic process; F:4 iron, 4 sulfur cluster binding"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1936,3-isopropylmalate dehydratase small subunit,201,20,4.23E-148,99.38,4,F:GO:0003861; P:GO:0009098; C:GO:0009316; F:GO:0016853,F:3-isopropylmalate dehydratase activity; P:leucine biosynthetic process; C:3-isopropylmalate dehydratase complex; F:isomerase activity,EC:4.2.1.33,3-isopropylmalate dehydratase,IPR015928 (G3DSA:3.20.19.GENE3D); IPR004431 (TIGRFAM); IPR000573 (PFAM); PTHR43822 (PANTHER); PTHR43822:SF3 (PANTHER); IPR004431 (HAMAP); IPR033940 (CDD); SSF52016 (SUPERFAMILY),F:GO:0003861; P:GO:0009098; C:GO:0009316,F:3-isopropylmalate dehydratase activity; P:leucine biosynthetic process; C:3-isopropylmalate dehydratase complex
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1937,cobalt transporter,296,20,0,99.15,4,C:GO:0005886; F:GO:0008324; C:GO:0016021; P:GO:0098655,C:plasma membrane; F:cation transmembrane transporter activity; C:integral component of membrane; P:cation transmembrane transport,,,IPR036837 (G3DSA:3.30.70.GENE3D); IPR002524 (TIGRFAM); IPR002524 (PFAM); IPR027469 (G3DSA:1.20.1510.GENE3D); IPR027470 (PFAM); PTHR43840 (PANTHER); PTHR43840:SF15 (PANTHER); IPR036837 (SUPERFAMILY); IPR027469 (SUPERFAMILY),P:GO:0006812; F:GO:0008324; C:GO:0016021; P:GO:0055085,P:cation transport; F:cation transmembrane transporter activity; C:integral component of membrane; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1938,Cytochrome b(N-terminal) b6 petB,193,20,7.64E-137,98.58,3,F:GO:0009055; C:GO:0016021; P:GO:0022904,F:electron transfer activity; C:integral component of membrane; P:respiratory electron transport chain,,,IPR011577 (PFAM); IPR016174 (SUPERFAMILY),F:GO:0009055; C:GO:0016020; C:GO:0016021; P:GO:0022904,F:electron transfer activity; C:membrane; C:integral component of membrane; P:respiratory electron transport chain
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1939,sugar transporter,392,20,0,99.58,4,F:GO:0005351; P:GO:0008643; C:GO:0016021; P:GO:1902600,F:carbohydrate:proton symporter activity; P:carbohydrate transport; C:integral component of membrane; P:proton transmembrane transport,,,IPR004750 (TIGRFAM); IPR011701 (PFAM); G3DSA:1.20.1250.20 (GENE3D); PTHR23535 (PANTHER); IPR004750 (PTHR23535:PANTHER); IPR020846 (PROSITE_PROFILES); IPR020846 (CDD); IPR036259 (SUPERFAMILY),F:GO:0005351; P:GO:0008643; C:GO:0016021; P:GO:0055085,F:carbohydrate:proton symporter activity; P:carbohydrate transport; C:integral component of membrane; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1940,glucose uptake inhibitor,50,20,4.82E-28,96.1,1,P:GO:0046325,P:negative regulation of glucose import,,,IPR031767 (PFAM),P:GO:0046325,P:negative regulation of glucose import
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_1941,transcriptional regulator,551,20,0,99.32,,,,,,IPR025370 (PFAM); IPR000914 (PFAM); G3DSA:3.40.190.10 (GENE3D); IPR039424 (PANTHER); PTHR30290:SF30 (PANTHER); cd08507 (CDD); SSF53850 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1942,thiamine ABC transporter substrate-binding,327,20,0,99.57,6,F:GO:0005524; P:GO:0015888; C:GO:0030288; F:GO:0030975; F:GO:0048502; P:GO:0055085,F:ATP binding; P:thiamine transport; C:outer membrane-bounded periplasmic space; F:thiamine binding; F:thiamine-transporting ATPase activity; P:transmembrane transport,EC:3.6.1.3; EC:3.6.1.15,Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase,G3DSA:3.40.190.10 (GENE3D); PF13343 (PFAM); G3DSA:3.40.190.10 (GENE3D); IPR005967 (TIGRFAM); IPR005948 (TIGRFAM); PTHR30006 (PANTHER); PTHR30006:SF3 (PANTHER); IPR005948 (CDD); SSF53850 (SUPERFAMILY),P:GO:0015888; C:GO:0030288; F:GO:0030975,P:thiamine transport; C:outer membrane-bounded periplasmic space; F:thiamine binding
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1943,thiamine thiamine pyrophosphate ABC transporter permease,540,20,0,98.98,5,F:GO:0005215; C:GO:0005886; P:GO:0015888; C:GO:0016021; P:GO:0055085,F:transporter activity; C:plasma membrane; P:thiamine transport; C:integral component of membrane; P:transmembrane transport,,,IPR000515 (PFAM); IPR005947 (TIGRFAM); IPR035906 (G3DSA:1.10.3720.GENE3D); PTHR30183:SF8 (PANTHER); PTHR30183 (PANTHER); IPR000515 (PROSITE_PROFILES); IPR000515 (PROSITE_PROFILES); IPR000515 (CDD); IPR000515 (CDD); IPR035906 (SUPERFAMILY); IPR035906 (SUPERFAMILY),F:GO:0005215; P:GO:0015888; C:GO:0016020; C:GO:0016021; P:GO:0055085,F:transporter activity; P:thiamine transport; C:membrane; C:integral component of membrane; P:transmembrane transport
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1944,thiamine ABC transporter ATP-binding,233,20,2.22E-163,96.89,5,F:GO:0005524; P:GO:0015888; C:GO:0043190; F:GO:0048502; P:GO:0071934,F:ATP binding; P:thiamine transport; C:ATP-binding cassette (ABC) transporter complex; F:thiamine-transporting ATPase activity; P:thiamine transmembrane transport,EC:3.6.1.3; EC:3.6.1.15,Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase,IPR003593 (SMART); G3DSA:3.40.50.300 (GENE3D); IPR003439 (PFAM); IPR005968 (TIGRFAM); PTHR42781:SF1 (PANTHER); PTHR42781 (PANTHER); IPR005968 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY),F:GO:0005524; C:GO:0016021; F:GO:0016887; F:GO:0042626; P:GO:0071934,"F:ATP binding; C:integral component of membrane; F:ATPase activity; F:ATPase activity, coupled to transmembrane movement of substances; P:thiamine transmembrane transport"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1945,inner membrane,255,20,6.49E-179,99.45,1,C:GO:0016021,C:integral component of membrane,,,IPR032816 (PFAM); PTHR30353:SF15 (PANTHER); IPR032818 (PANTHER),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1946,arabinose operon regulatory,281,20,0,99.61,3,F:GO:0003700; P:GO:0006355; F:GO:0043565,"F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding",,,IPR020449 (PRINTS); IPR018060 (SMART); G3DSA:1.10.10.60 (GENE3D); IPR003313 (PFAM); G3DSA:2.60.120.280 (GENE3D); IPR018060 (PFAM); PTHR11019:SF123 (PANTHER); PTHR11019 (PANTHER); IPR018060 (PROSITE_PROFILES); IPR009057 (SUPERFAMILY); IPR037923 (SUPERFAMILY); IPR009057 (SUPERFAMILY),F:GO:0003677; F:GO:0003700; P:GO:0006355; F:GO:0043565,"F:DNA binding; F:DNA-binding transcription factor activity; P:regulation of transcription, DNA-templated; F:sequence-specific DNA binding"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1947,Ribulokinase,569,20,0,99.49,4,F:GO:0005524; F:GO:0008741; P:GO:0019569; P:GO:0046835,F:ATP binding; F:ribulokinase activity; P:L-arabinose catabolic process to xylulose 5-phosphate; P:carbohydrate phosphorylation,EC:2.7.1.16,Ribulokinase,IPR018484 (PFAM); G3DSA:3.30.420.460 (GENE3D); G3DSA:3.30.420.40 (GENE3D); IPR018485 (PFAM); IPR005929 (TIGRFAM); IPR000577 (PIRSF); PTHR43435:SF3 (PANTHER); PTHR43435 (PANTHER); IPR005929 (HAMAP); IPR005929 (CDD); SSF53067 (SUPERFAMILY); SSF53067 (SUPERFAMILY),F:GO:0005524; P:GO:0005975; F:GO:0008741; F:GO:0016773; P:GO:0019569,"F:ATP binding; P:carbohydrate metabolic process; F:ribulokinase activity; F:phosphotransferase activity, alcohol group as acceptor; P:L-arabinose catabolic process to xylulose 5-phosphate"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1948,L-arabinose isomerase,500,20,0,99.97,4,C:GO:0005737; F:GO:0008733; P:GO:0019569; F:GO:0030145,C:cytoplasm; F:L-arabinose isomerase activity; P:L-arabinose catabolic process to xylulose 5-phosphate; F:manganese ion binding,EC:5.3.1.4,L-arabinose isomerase,IPR038583 (G3DSA:3.40.50.GENE3D); IPR003762 (PIRSF); IPR024664 (PFAM); IPR003762 (PFAM); IPR003762 (PANTHER); IPR003762 (PRODOM); IPR003762 (HAMAP); cd03557 (CDD); IPR004216 (SUPERFAMILY); IPR009015 (SUPERFAMILY),C:GO:0005737; P:GO:0005996; F:GO:0008733; F:GO:0016861,"C:cytoplasm; P:monosaccharide metabolic process; F:L-arabinose isomerase activity; F:intramolecular oxidoreductase activity, interconverting aldoses and ketoses"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1949,L-ribulose-5-phosphate 4-epimerase,231,20,2.37E-171,99.65,3,F:GO:0008270; F:GO:0008742; P:GO:0019569,F:zinc ion binding; F:L-ribulose-phosphate 4-epimerase activity; P:L-arabinose catabolic process to xylulose 5-phosphate,EC:5.1.3.4,L-ribulose-5-phosphate 4-epimerase,IPR001303 (SMART); IPR036409 (G3DSA:3.40.225.GENE3D); IPR004661 (TIGRFAM); IPR001303 (PFAM); PTHR22789 (PANTHER); PTHR22789:SF15 (PANTHER); IPR033748 (HAMAP); cd00398 (CDD); IPR036409 (SUPERFAMILY),F:GO:0008270; F:GO:0008742; P:GO:0019569; P:GO:0019572,F:zinc ion binding; F:L-ribulose-phosphate 4-epimerase activity; P:L-arabinose catabolic process to xylulose 5-phosphate; P:L-arabinose catabolic process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1950,DNA polymerase II,785,20,0,99.29,7,F:GO:0000166; F:GO:0003677; F:GO:0003887; P:GO:0006260; F:GO:0008408; P:GO:0071897; P:GO:0090305,F:nucleotide binding; F:DNA binding; F:DNA-directed DNA polymerase activity; P:DNA replication; F:3'-5' exonuclease activity; P:DNA biosynthetic process; P:nucleic acid phosphodiester bond hydrolysis,EC:2.7.7.7,DNA-directed DNA polymerase,IPR006172 (PRINTS); IPR006172 (SMART); IPR023211 (G3DSA:3.90.1600.GENE3D); IPR036397 (G3DSA:3.30.420.GENE3D); IPR006134 (PFAM); IPR006133 (PFAM); G3DSA:2.40.50.590 (GENE3D); G3DSA:1.10.132.60 (GENE3D); G3DSA:3.30.70.2250 (GENE3D); PTHR10322 (PANTHER); PTHR10322:SF33 (PANTHER); cd05537 (CDD); cd05784 (CDD); SSF56672 (SUPERFAMILY); IPR012337 (SUPERFAMILY),F:GO:0000166; F:GO:0003676; F:GO:0003677; F:GO:0003887,F:nucleotide binding; F:nucleic acid binding; F:DNA binding; F:DNA-directed DNA polymerase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1951,RNA polymerase-associated,968,20,0,99.74,4,F:GO:0003677; F:GO:0004386; F:GO:0005524; P:GO:0006355,"F:DNA binding; F:helicase activity; F:ATP binding; P:regulation of transcription, DNA-templated",EC:3.6.1.15,Nucleoside-triphosphate phosphatase,IPR001650 (SMART); IPR014001 (SMART); IPR000330 (PFAM); IPR022737 (PFAM); IPR001650 (PFAM); G3DSA:3.30.360.80 (GENE3D); IPR038718 (G3DSA:3.40.50.GENE3D); G3DSA:3.40.50.300 (GENE3D); G3DSA:2.30.30.140 (GENE3D); G3DSA:2.30.30.930 (GENE3D); PTHR10799 (PANTHER); PTHR10799:SF949 (PANTHER); IPR023949 (HAMAP); IPR014001 (PROSITE_PROFILES); IPR001650 (PROSITE_PROFILES); cd00046 (CDD); IPR001650 (CDD); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY),F:GO:0005524; P:GO:0006355; F:GO:0016817,"F:ATP binding; P:regulation of transcription, DNA-templated; F:hydrolase activity, acting on acid anhydrides"
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1952,ribosomal large subunit pseudouridine synthase A,219,20,1.05E-161,99.86,3,P:GO:0001522; F:GO:0003723; F:GO:0009982,P:pseudouridine synthesis; F:RNA binding; F:pseudouridine synthase activity,EC:5.4.99.12,tRNA pseudouridine(38-40) synthase,IPR006225 (TIGRFAM); IPR006145 (PFAM); G3DSA:3.30.2350.10 (GENE3D); PTHR44205:SF3 (PANTHER); PTHR44205 (PANTHER); IPR006145 (CDD); IPR020103 (SUPERFAMILY),P:GO:0001522; F:GO:0003723; P:GO:0009451; F:GO:0009982,P:pseudouridine synthesis; F:RNA binding; P:RNA modification; F:pseudouridine synthase activity
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1953,Dna-J like membrane chaperone,271,20,0,99.63,3,C:GO:0005886; C:GO:0016021; F:GO:0051087,C:plasma membrane; C:integral component of membrane; F:chaperone binding,,,IPR001623 (PRINTS); IPR001623 (SMART); IPR036869 (G3DSA:1.10.287.GENE3D); IPR029024 (G3DSA:1.10.3680.GENE3D); IPR001623 (PFAM); IPR007791 (PFAM); PTHR24074 (PANTHER); PTHR24074:SF12 (PANTHER); IPR001623 (PROSITE_PROFILES); IPR023749 (HAMAP); cd07316 (CDD); IPR001623 (CDD); IPR036869 (SUPERFAMILY),F:GO:0051087,F:chaperone binding
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1954,LPS assembly,783,20,0,99.32,4,C:GO:0009279; P:GO:0010033; P:GO:0015920; P:GO:0043165,C:cell outer membrane; P:response to organic substance; P:lipopolysaccharide transport; P:Gram-negative-bacterium-type cell outer membrane assembly,,,IPR007543 (PFAM); IPR005653 (PFAM); G3DSA:2.60.450.10 (GENE3D); PTHR30189 (PANTHER); IPR020889 (HAMAP),C:GO:0009279; P:GO:0010033; P:GO:0015920; C:GO:0019867; P:GO:0043165; P:GO:0061024,C:cell outer membrane; P:response to organic substance; P:lipopolysaccharide transport; C:outer membrane; P:Gram-negative-bacterium-type cell outer membrane assembly; P:membrane organization
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1955,peptidylprolyl isomerase,428,20,0,99.79,10,P:GO:0000413; F:GO:0003755; P:GO:0015031; C:GO:0030288; F:GO:0042277; P:GO:0043165; P:GO:0050821; F:GO:0051082; P:GO:0051085; P:GO:0060274,P:protein peptidyl-prolyl isomerization; F:peptidyl-prolyl cis-trans isomerase activity; P:protein transport; C:outer membrane-bounded periplasmic space; F:peptide binding; P:Gram-negative-bacterium-type cell outer membrane assembly; P:protein stabilization; F:unfolded protein binding; P:chaperone cofactor-dependent protein refolding; P:maintenance of stationary phase,EC:5.2.1.8,Peptidylprolyl isomerase,IPR000297 (PFAM); G3DSA:3.10.50.40 (GENE3D); G3DSA:3.10.50.40 (GENE3D); IPR015391 (PFAM); G3DSA:1.10.4030.30 (GENE3D); G3DSA:1.10.4030.30 (GENE3D); PTHR10657:SF21 (PANTHER); PTHR10657 (PANTHER); IPR023034 (HAMAP); IPR000297 (PROSITE_PROFILES); IPR000297 (PROSITE_PROFILES); SSF54534 (SUPERFAMILY); IPR027304 (SUPERFAMILY); SSF54534 (SUPERFAMILY),F:GO:0003755; P:GO:0006457; C:GO:0030288; F:GO:0042277; P:GO:0043165; P:GO:0050821; F:GO:0051082; P:GO:0060274,F:peptidyl-prolyl cis-trans isomerase activity; P:protein folding; C:outer membrane-bounded periplasmic space; F:peptide binding; P:Gram-negative-bacterium-type cell outer membrane assembly; P:protein stabilization; F:unfolded protein binding; P:maintenance of stationary phase
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1956,4-hydroxythreonine-4-phosphate dehydrogenase,328,20,0,99.71,9,F:GO:0000287; C:GO:0005737; F:GO:0008270; P:GO:0008615; P:GO:0042823; F:GO:0050570; F:GO:0050897; F:GO:0051287; P:GO:0055114,F:magnesium ion binding; C:cytoplasm; F:zinc ion binding; P:pyridoxine biosynthetic process; P:pyridoxal phosphate biosynthetic process; F:4-hydroxythreonine-4-phosphate dehydrogenase activity; F:cobalt ion binding; F:NAD binding; P:oxidation-reduction process,EC:1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase,IPR005255 (PFAM); IPR005255 (TIGRFAM); G3DSA:3.40.718.10 (GENE3D); PTHR30004:SF5 (PANTHER); IPR005255 (PANTHER); IPR037510 (HAMAP); SSF53659 (SUPERFAMILY),P:GO:0042823; F:GO:0050570; F:GO:0051287; P:GO:0055114,P:pyridoxal phosphate biosynthetic process; F:4-hydroxythreonine-4-phosphate dehydrogenase activity; F:NAD binding; P:oxidation-reduction process
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1957,16S rRNA (adenine(1518)-N(6) adenine(1519)-N(6))-dimethyltransferase,273,20,0,99.76,5,F:GO:0000179; F:GO:0003723; C:GO:0005737; P:GO:0031167; F:GO:0052908,"F:rRNA (adenine-N6,N6-)-dimethyltransferase activity; F:RNA binding; C:cytoplasm; P:rRNA methylation; F:16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity",EC:2.1.1.182,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,IPR020598 (SMART); G3DSA:3.40.50.150 (GENE3D); IPR011530 (TIGRFAM); IPR023165 (G3DSA:1.10.8.GENE3D); IPR001737 (PFAM); PTHR11727:SF7 (PANTHER); IPR001737 (PANTHER); IPR001737 (PROSITE_PROFILES); IPR011530 (HAMAP); IPR029063 (SUPERFAMILY),P:GO:0000154; F:GO:0000179; P:GO:0006364; F:GO:0008649,"P:rRNA modification; F:rRNA (adenine-N6,N6-)-dimethyltransferase activity; P:rRNA processing; F:rRNA methyltransferase activity"
TRUE,"[INTERPRO, BLASTED]",scf7180000000008_quiver_1958,CO2+ MG2+ efflux,125,20,9.37E-87,98.84,,,,,,IPR036767 (G3DSA:2.60.40.GENE3D); IPR007474 (PFAM); PTHR14289 (PANTHER); IPR023065 (HAMAP); IPR007474 (PROSITE_PROFILES); IPR036767 (SUPERFAMILY),no GO terms,no GO terms
TRUE,"[INTERPRO, BLASTED, MAPPED, ANNOTATED]",scf7180000000008_quiver_1959,bis(5 -nucleosyl)-tetraphosphatase (symmetrical),282,20,0,99.54,1,F:GO:0008803,F:bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity,EC:3.6.1.41; EC:3.6.1.9,Bis(5'-nucleosyl)-tetraphosphatase (symmetrical); Nucleotide diphosphatase,IPR029052 (G3DSA:3.60.21.GENE3D); IPR004617 (TIGRFAM); IPR004843 (PFAM); IPR004617 (PIRSF); PTHR24032:SF27 (PANTHER); PTHR24032 (PANTHER); IPR004617 (HAMAP); IPR004617 (CDD); SSF56300 (SUPERFAMILY),F:GO:0008803; F:GO:0016787,F:bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity; F:hydrolase activity
